sample	donor	tissue	purity	ploidy	WGD	cohort	Missing_Files
PPCG1006a	PPCG1006	Primary	0.598	1.901	False	COMBI	.
PPCG1006c	PPCG1006	Metastasis	0.345	1.899	False	COMBI	.
PPCG1008a	PPCG1008	Primary	0.409	1.901	False	COMBI	.
PPCG1008c	PPCG1008	Metastasis	0.754	1.956	False	COMBI	.
PPCG1010a	PPCG1010	Primary	0.758	1.869	False	COMBI	.
PPCG1010c	PPCG1010	Metastasis	0.310	3.274	True	COMBI	.
PPCG1012a	PPCG1012	Primary	0.744	2.009	False	COMBI	.
PPCG1012c	PPCG1012	Metastasis	0.578	1.970	False	COMBI	.
PPCG1014a	PPCG1014	Primary	0.676	2.151	False	COMBI	.
PPCG1014c	PPCG1014	Metastasis	0.803	2.181	False	COMBI	.
PPCG1016a	PPCG1016	Primary	0.690	1.954	True	COMBI	.
PPCG1016c	PPCG1016	Metastasis	0.604	1.936	False	COMBI	.
PPCG1018a	PPCG1018	Primary	0.840	1.953	False	COMBI	.
PPCG1018c	PPCG1018	Metastasis	0.592	1.941	False	COMBI	.
PPCG1020a	PPCG1020	Primary	0.448	1.943	False	COMBI	.
PPCG1020c	PPCG1020	Metastasis	0.306	1.943	False	COMBI	.
PPCG1022a	PPCG1022	Primary	0.522	1.941	False	COMBI	.
PPCG1022c	PPCG1022	Metastasis	0.308	1.943	False	COMBI	.
PPCG1024a	PPCG1024	Primary	0.633	2.085	False	COMBI	.
PPCG1024c	PPCG1024	Metastasis	0.817	2.071	False	COMBI	.
PPCG1026a	PPCG1026	Primary	0.324	2.040	False	COMBI	.
PPCG1026c	PPCG1026	Metastasis	0.173	2.065	False	COMBI	.
PPCG1028a	PPCG1028	Primary	0.314	1.931	False	COMBI	.
PPCG1028c	PPCG1028	Metastasis	0.220	2.053	False	COMBI	.
PPCG1030a	PPCG1030	Primary	0.734	2.005	False	COMBI	.
PPCG1030c	PPCG1030	Metastasis	0.953	2.037	False	COMBI	.
PPCG1032a	PPCG1032	Primary	0.353	1.953	True	COMBI	.
PPCG1032c	PPCG1032	Metastasis	0.120	1.987	False	COMBI	.
PPCG1034a	PPCG1034	Primary	0.267	3.817	True	COMBI	.
PPCG1034c	PPCG1034	Metastasis	0.240	3.728	True	COMBI	.
PPCG1036a	PPCG1036	Primary	0.613	1.861	False	COMBI	.
PPCG1036c	PPCG1036	Metastasis	0.399	1.869	False	COMBI	.
PPCG1038a	PPCG1038	Primary	0.510	1.883	False	COMBI	.
PPCG1038c	PPCG1038	Metastasis	0.584	1.889	False	COMBI	.
PPCG1040a	PPCG1040	Primary	0.501	4.258	True	COMBI	.
PPCG1040c	PPCG1040	Metastasis	0.219	1.983	False	COMBI	.
PPCG1042a	PPCG1042	Primary	0.382	1.981	False	COMBI	.
PPCG1042c	PPCG1042	Metastasis	0.495	1.998	False	COMBI	.
PPCG1044a	PPCG1044	Primary	0.298	4.060	True	COMBI	.
PPCG1044c	PPCG1044	Metastasis	0.287	2.848	True	COMBI	.
PPCG1048a	PPCG1048	Primary	0.592	1.944	False	COMBI	.
PPCG1048c	PPCG1048	Metastasis	0.672	1.941	False	COMBI	.
PPCG1050a	PPCG1050	Primary	0.548	1.910	False	COMBI	.
PPCG1050c	PPCG1050	Metastasis	0.827	1.946	False	COMBI	.
PPCG1052a	PPCG1052	Primary	0.716	1.927	False	COMBI	.
PPCG1052c	PPCG1052	Metastasis	0.451	3.700	True	COMBI	.
PPCG1054a	PPCG1054	Primary	0.756	2.081	False	COMBI	.
PPCG1054c	PPCG1054	Metastasis	0.661	2.339	False	COMBI	.
PPCG1056a	PPCG1056	Primary	0.474	3.933	True	COMBI	.
PPCG1056c	PPCG1056	Metastasis	0.707	1.910	False	COMBI	.
PPCG1058a	PPCG1058	Primary	0.515	3.954	True	COMBI	.
PPCG1058c	PPCG1058	Metastasis	0.220	2.009	False	COMBI	.
PPCG1060a	PPCG1060	Primary	0.857	1.968	False	COMBI	.
PPCG1060c	PPCG1060	Metastasis	0.858	3.525	True	COMBI	.
PPCG1062a	PPCG1062	Primary	0.232	3.955	True	COMBI	.
PPCG1062c	PPCG1062	Metastasis	0.317	2.000	False	COMBI	.
PPCG1066a	PPCG1066	Primary	0.636	1.954	False	COMBI	.
PPCG1066c	PPCG1066	Metastasis	0.857	2.292	False	COMBI	.
PPCG1068a	PPCG1068	Primary	0.924	2.019	False	COMBI	.
PPCG1068c	PPCG1068	Metastasis	0.939	2.020	False	COMBI	.
PPCG1070a	PPCG1070	Primary	0.571	1.884	False	COMBI	.
PPCG1070c	PPCG1070	Metastasis	0.730	1.870	False	COMBI	.
PPCG1072a	PPCG1072	Primary	0.433	1.929	False	COMBI	.
PPCG1072c	PPCG1072	Metastasis	0.290	2.006	False	COMBI	.
PPCG1074a	PPCG1074	Primary	0.470	1.966	False	COMBI	.
PPCG1074c	PPCG1074	Metastasis	0.346	1.945	False	COMBI	.
PPCG1076a	PPCG1076	Primary	0.599	2.481	True	COMBI	.
PPCG1076c	PPCG1076	Metastasis	0.419	2.815	True	COMBI	.
PPCG1078a	PPCG1078	Primary	0.404	1.948	False	COMBI	.
PPCG1078c	PPCG1078	Metastasis	0.118	1.962	False	COMBI	.
PPCG1080a	PPCG1080	Primary	0.626	1.860	False	COMBI	.
PPCG1080c	PPCG1080	Metastasis	0.713	1.854	False	COMBI	.
PPCG1082a	PPCG1082	Primary	0.294	1.912	False	COMBI	.
PPCG1082c	PPCG1082	Metastasis	0.458	1.814	True	COMBI	.
PPCG1107a	PPCG1107	Metastasis	0.885	3.533	True	COMBI	.
PPCG0001a	PPCG0001	Primary	0.280	1.886	False	PPCG	.
PPCG0002a	PPCG0002	Primary	0.498	2.311	False	PPCG	.
PPCG0003a	PPCG0003	Primary	0.778	2.385	False	PPCG	.
PPCG0004a	PPCG0004	Primary	0.478	1.689	False	PPCG	.
PPCG0005a	PPCG0005	Primary	0.673	2.000	False	PPCG	SV
PPCG0006a	PPCG0006	Primary	0.681	1.611	False	PPCG	.
PPCG0007a	PPCG0007	Primary	0.891	1.629	False	PPCG	.
PPCG0008a	PPCG0008	Primary	0.639	1.581	False	PPCG	.
PPCG0009a	PPCG0009	Primary	0.219	2.004	False	PPCG	.
PPCG0010a	PPCG0010	Primary	0.271	1.814	False	PPCG	.
PPCG0011a	PPCG0011	Primary	0.742	1.750	False	PPCG	.
PPCG0012a	PPCG0012	Primary	0.634	1.826	False	PPCG	.
PPCG0013a	PPCG0013	Primary	0.319	1.786	False	PPCG	.
PPCG0014a	PPCG0014	Primary	0.529	3.176	True	PPCG	.
PPCG0015a	PPCG0015	Primary	0.329	3.073	True	PPCG	.
PPCG0016a	PPCG0016	Primary	0.563	2.250	False	PPCG	.
PPCG0017a	PPCG0017	Primary	0.269	2.259	False	PPCG	.
PPCG0018a	PPCG0018	Primary	0.710	3.689	True	PPCG	.
PPCG0019a	PPCG0019	Primary	0.468	2.466	False	PPCG	.
PPCG0020a	PPCG0020	Primary	0.562	1.286	False	PPCG	.
PPCG0021a	PPCG0021	Primary	0.575	1.829	False	PPCG	.
PPCG0022a	PPCG0022	Primary	0.533	3.561	True	PPCG	.
PPCG0023a	PPCG0023	Primary	0.325	3.814	True	PPCG	.
PPCG0024a	PPCG0024	Primary	0.392	2.841	False	PPCG	.
PPCG0025a	PPCG0025	Primary	0.948	2.868	False	PPCG	.
PPCG0026a	PPCG0026	Primary	0.539	1.582	False	PPCG	.
PPCG0027a	PPCG0027	Primary	0.590	1.621	False	PPCG	.
PPCG0028a	PPCG0028	Primary	0.414	1.705	False	PPCG	.
PPCG0029a	PPCG0029	Primary	0.478	1.686	False	PPCG	.
PPCG0030a	PPCG0030	Primary	0.486	1.897	False	PPCG	.
PPCG0031a	PPCG0031	Primary	0.565	1.756	False	PPCG	.
PPCG0032a	PPCG0032	Primary	0.388	1.745	False	PPCG	.
PPCG0033a	PPCG0033	Primary	0.460	1.931	False	PPCG	INDEL,SV
PPCG0034a	PPCG0034	Primary	0.446	1.708	False	PPCG	.
PPCG0035a	PPCG0035	Primary	0.517	1.699	False	PPCG	.
PPCG0036a	PPCG0036	Primary	0.395	1.732	False	PPCG	.
PPCG0037a	PPCG0037	Primary	0.583	1.819	False	PPCG	.
PPCG0038a	PPCG0038	Primary	0.463	1.853	False	PPCG	.
PPCG0039a	PPCG0039	Primary	0.589	1.707	False	PPCG	.
PPCG0040a	PPCG0040	Primary	0.491	1.933	False	PPCG	.
PPCG0041a	PPCG0041	Primary	0.415	1.761	False	PPCG	.
PPCG0042a	PPCG0042	Primary	0.489	1.742	False	PPCG	.
PPCG0043a	PPCG0043	Primary	0.263	1.970	False	PPCG	.
PPCG0044a	PPCG0044	Primary	0.306	1.671	False	PPCG	.
PPCG0045a	PPCG0045	Primary	0.328	1.835	False	PPCG	.
PPCG0046a	PPCG0046	Primary	0.515	1.845	False	PPCG	.
PPCG0047a	PPCG0047	Primary	0.330	1.872	False	PPCG	.
PPCG0048a	PPCG0048	Primary	0.519	1.746	False	PPCG	.
PPCG0049a	PPCG0049	Primary	0.296	1.906	False	PPCG	.
PPCG0050a	PPCG0050	Primary	0.554	1.790	False	PPCG	.
PPCG0050c	PPCG0050	Primary	0.639	1.688	False	PPCG	.
PPCG0051a	PPCG0051	Primary	0.351	2.071	False	PPCG	.
PPCG0051c	PPCG0051	Primary	0.450	2.114	False	PPCG	.
PPCG0052a	PPCG0052	Primary	0.428	1.752	False	PPCG	.
PPCG0053a	PPCG0053	Primary	0.665	1.809	False	PPCG	.
PPCG0054a	PPCG0054	Primary	0.513	3.377	True	PPCG	.
PPCG0055a	PPCG0055	Primary	0.502	1.922	False	PPCG	.
PPCG0056a	PPCG0056	Primary	0.548	1.603	False	PPCG	.
PPCG0056c	PPCG0056	Primary	0.636	1.680	False	PPCG	.
PPCG0056d	PPCG0056	Primary	0.536	1.564	False	PPCG	.
PPCG0056e	PPCG0056	Primary	0.715	1.676	False	PPCG	.
PPCG0056f	PPCG0056	Primary	0.750	1.599	False	PPCG	.
PPCG0056g	PPCG0056	Primary	0.742	1.581	False	PPCG	.
PPCG0056h	PPCG0056	Primary	0.537	1.683	False	PPCG	INDEL,SNV,SV
PPCG0057a	PPCG0057	Primary	0.549	1.826	False	PPCG	.
PPCG0057c	PPCG0057	Primary	0.505	1.714	False	PPCG	.
PPCG0057d	PPCG0057	Primary	0.322	1.811	False	PPCG	.
PPCG0057e	PPCG0057	Primary	0.310	1.824	False	PPCG	.
PPCG0057f	PPCG0057	Primary	0.329	1.758	False	PPCG	.
PPCG0058a	PPCG0058	Primary	0.455	1.773	False	PPCG	.
PPCG0058c	PPCG0058	Primary	0.491	1.789	False	PPCG	.
PPCG0058d	PPCG0058	Primary	0.409	1.861	False	PPCG	.
PPCG0058e	PPCG0058	Primary	0.346	1.791	False	PPCG	.
PPCG0058f	PPCG0058	Primary	0.266	3.633	True	PPCG	.
PPCG0058g	PPCG0058	Primary	0.566	1.681	False	PPCG	.
PPCG0058h	PPCG0058	Primary	0.691	1.782	False	PPCG	INDEL,SNV,SV
PPCG0059a	PPCG0059	Primary	0.320	2.864	False	PPCG	.
PPCG0059c	PPCG0059	Primary	0.310	2.333	False	PPCG	.
PPCG0059d	PPCG0059	Primary	0.429	3.578	True	PPCG	.
PPCG0059e	PPCG0059	Primary	0.376	1.681	False	PPCG	.
PPCG0059f	PPCG0059	Primary	0.371	3.628	True	PPCG	.
PPCG0059g	PPCG0059	Primary	0.417	1.682	False	PPCG	.
PPCG0060a	PPCG0060	Primary	0.478	1.726	False	PPCG	.
PPCG0061a	PPCG0061	Primary	0.692	1.570	False	PPCG	.
PPCG0062a	PPCG0062	Primary	0.307	1.800	False	PPCG	.
PPCG0063a	PPCG0063	Primary	0.260	1.882	False	PPCG	.
PPCG0064a	PPCG0064	Primary	0.314	1.613	False	PPCG	.
PPCG0065a	PPCG0065	Primary	0.339	1.820	False	PPCG	.
PPCG0066a	PPCG0066	Primary	0.288	1.794	False	PPCG	.
PPCG0067a	PPCG0067	Primary	0.330	1.697	False	PPCG	.
PPCG0068a	PPCG0068	Primary	0.374	1.770	False	PPCG	.
PPCG0069a	PPCG0069	Primary	0.409	1.700	False	PPCG	.
PPCG0070a	PPCG0070	Primary	0.542	1.613	False	PPCG	.
PPCG0071a	PPCG0071	Primary	0.512	1.648	False	PPCG	.
PPCG0072a	PPCG0072	Primary	0.544	1.760	False	PPCG	.
PPCG0073a	PPCG0073	Primary	0.563	1.851	False	PPCG	.
PPCG0074a	PPCG0074	Primary	0.455	1.678	False	PPCG	.
PPCG0075a	PPCG0075	Primary	0.349	1.632	False	PPCG	.
PPCG0076a	PPCG0076	Primary	0.499	1.593	False	PPCG	.
PPCG0077a	PPCG0077	Primary	0.557	1.803	False	PPCG	.
PPCG0078a	PPCG0078	Primary	0.331	3.444	True	PPCG	SV
PPCG0078c	PPCG0078	Primary	0.576	1.631	False	PPCG	SV
PPCG0078d	PPCG0078	Primary	0.397	3.505	True	PPCG	SV
PPCG0078e	PPCG0078	Primary	0.445	1.742	False	PPCG	SV
PPCG0083a	PPCG0083	Primary	0.520	2.042	False	PPCG	SV
PPCG0083c	PPCG0083	Primary	0.436	2.135	False	PPCG	SV
PPCG0083d	PPCG0083	Primary	0.528	1.950	False	PPCG	SV
PPCG0083e	PPCG0083	Primary	0.144	2.867	False	PPCG	INDEL,SV
PPCG0083f	PPCG0083	Primary	0.390	1.905	False	PPCG	SV
PPCG0084a	PPCG0084	Primary	0.484	1.639	False	PPCG	SV
PPCG0084c	PPCG0084	Primary	0.323	1.677	False	PPCG	SV
PPCG0084d	PPCG0084	Primary	0.140	2.139	False	PPCG	INDEL,SV
PPCG0085a	PPCG0085	Primary	0.495	1.500	False	PPCG	.
PPCG0090a	PPCG0090	Primary	0.832	1.763	False	PPCG	.
PPCG0091a	PPCG0091	Primary	0.495	1.541	False	PPCG	.
PPCG0092a	PPCG0092	Primary	0.608	1.860	False	PPCG	.
PPCG0093a	PPCG0093	Primary	0.170	3.660	True	PPCG	.
PPCG0094a	PPCG0094	Primary	0.301	4.754	True	PPCG	.
PPCG0095a	PPCG0095	Primary	0.837	13.112	True	PPCG	.
PPCG0096a	PPCG0096	Primary	0.818	1.897	False	PPCG	.
PPCG0097a	PPCG0097	Primary	0.532	1.812	False	PPCG	.
PPCG0098a	PPCG0098	Primary	0.156	1.784	False	PPCG	INDEL
PPCG0099a	PPCG0099	Primary	0.755	2.065	False	PPCG	.
PPCG0100a	PPCG0100	Primary	0.233	1.650	False	PPCG	INDEL
PPCG0101a	PPCG0101	Primary	0.306	1.840	False	PPCG	.
PPCG0103a	PPCG0103	Primary	0.649	1.610	False	PPCG	.
PPCG0104a	PPCG0104	Primary	0.709	1.628	False	PPCG	.
PPCG0106a	PPCG0106	Primary	0.629	1.912	False	PPCG	.
PPCG0107a	PPCG0107	Primary	0.556	1.705	False	PPCG	.
PPCG0108a	PPCG0108	Primary	0.519	1.683	False	PPCG	.
PPCG0109a	PPCG0109	Primary	0.544	1.635	False	PPCG	.
PPCG0110a	PPCG0110	Primary	0.757	1.800	False	PPCG	.
PPCG0111a	PPCG0111	Primary	0.669	2.000	False	PPCG	.
PPCG0112a	PPCG0112	Primary	0.601	3.706	True	PPCG	.
PPCG0113a	PPCG0113	Primary	0.246	2.094	False	PPCG	.
PPCG0114a	PPCG0114	Primary	0.379	1.765	False	PPCG	.
PPCG0115a	PPCG0115	Primary	0.728	3.706	True	PPCG	.
PPCG0116a	PPCG0116	Primary	0.401	1.795	False	PPCG	.
PPCG0117a	PPCG0117	Primary	0.594	3.195	True	PPCG	.
PPCG0118a	PPCG0118	Primary	0.513	4.888	True	PPCG	.
PPCG0119a	PPCG0119	Primary	0.490	3.731	True	PPCG	.
PPCG0120a	PPCG0120	Primary	0.352	3.620	True	PPCG	.
PPCG0121a	PPCG0121	Primary	0.611	1.515	False	PPCG	.
PPCG0122a	PPCG0122	Primary	0.367	1.825	False	PPCG	.
PPCG0126a	PPCG0126	Primary	0.336	3.562	True	PPCG	.
PPCG0127a	PPCG0127	Primary	0.565	2.142	False	PPCG	.
PPCG0128a	PPCG0128	Primary	0.695	2.253	False	PPCG	.
PPCG0129a	PPCG0129	Primary	0.608	3.600	True	PPCG	.
PPCG0130a	PPCG0130	Primary	0.512	1.987	False	PPCG	.
PPCG0131a	PPCG0131	Primary	0.465	2.278	False	PPCG	.
PPCG0132a	PPCG0132	Primary	0.562	1.822	False	PPCG	.
PPCG0133a	PPCG0133	Primary	0.619	1.636	False	PPCG	.
PPCG0134a	PPCG0134	Primary	0.435	1.603	False	PPCG	.
