total_genes	mut_genes_combi	mut_genes_ppcg	a	b	c	d	odds_ratio	p_value	q_value	significant	geneset
49	19	10	22	42	12	52	2.26984	0.07081	0.94480	False	GOBP_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT
18	10	10	22	42	12	52	2.26984	0.07081	0.94480	False	GOBP_RELAXATION_OF_CARDIAC_MUSCLE
18	8	4	13	51	5	59	3.00784	0.07293	0.94480	False	GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_INVOLVED_IN_ENDOCARDIAL_CUSHION_FORMATION
14	9	3	13	51	5	59	3.00784	0.07293	0.94480	False	GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY
25	11	5	13	51	5	59	3.00784	0.07293	0.94480	False	GOBP_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS
18	9	5	17	47	8	56	2.53191	0.07310	0.94480	False	GOBP_REGULATION_OF_DEFENSE_RESPONSE_TO_BACTERIUM
47	15	6	17	47	8	56	2.53191	0.07310	0.94480	False	GOBP_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS
30	15	8	17	47	8	56	2.53191	0.07310	0.94480	False	GOBP_CARDIAC_ATRIUM_MORPHOGENESIS
35	14	8	17	47	8	56	2.53191	0.07310	0.94480	False	GOBP_NEUROEPITHELIAL_CELL_DIFFERENTIATION
37	15	13	35	29	24	40	2.01149	0.07579	0.94480	False	GOBP_RESPONSE_TO_ELECTRICAL_STIMULUS
18	8	3	10	54	3	61	3.76543	0.07589	0.94480	False	GOBP_MUCUS_SECRETION
17	6	3	10	54	3	61	3.76543	0.07589	0.94480	False	GOBP_RENAL_VESICLE_DEVELOPMENT
10	5	3	10	54	3	61	3.76543	0.07589	0.94480	False	GOBP_RIGHTING_REFLEX
21	7	3	10	54	3	61	3.76543	0.07589	0.94480	False	GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT
20	9	3	10	54	3	61	3.76543	0.07589	0.94480	False	GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY
21	9	4	10	54	3	61	3.76543	0.07589	0.94480	False	GOBP_RRNA_CATABOLIC_PROCESS
47	18	14	23	41	13	51	2.20075	0.07605	0.94480	False	GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION
50	17	14	24	40	14	50	2.14286	0.08095	0.97663	False	GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION
27	13	8	18	46	9	55	2.39130	0.08186	0.97663	False	GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION
18	7	6	18	46	9	55	2.39130	0.08186	0.97663	False	GOBP_MORPHOGENESIS_OF_AN_ENDOTHELIUM
37	12	8	18	46	9	55	2.39130	0.08186	0.97663	False	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II
23	13	13	15	49	25	39	0.47755	0.08547	0.99360	False	GOBP_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL
31	21	14	25	39	15	49	2.09402	0.08547	0.99360	False	GOBP_ATRIOVENTRICULAR_VALVE_DEVELOPMENT
36	15	6	14	50	6	58	2.70667	0.08658	0.99360	False	GOBP_PHAGOCYTOSIS_RECOGNITION
35	13	5	14	50	6	58	2.70667	0.08658	0.99360	False	GOBP_REGULATION_OF_KIDNEY_DEVELOPMENT
24	6	4	11	53	4	60	3.11321	0.09670	1.00000	False	GOBP_MIDBODY_ABSCISSION
13	7	4	11	53	4	60	3.11321	0.09670	1.00000	False	GOBP_REGULATION_OF_GONAD_DEVELOPMENT
9	7	3	11	53	4	60	3.11321	0.09670	1.00000	False	GOBP_POSITIVE_REGULATION_OF_PROTEIN_BINDING
16	8	4	11	53	4	60	3.11321	0.09670	1.00000	False	GOBP_ASTRAL_MICROTUBULE_ORGANIZATION
