geneset	n_mutated_meta	n_mutated_nonmeta	log_odds_ratio	odds_ratio	p_value	q_value	significant
GOBP_MEMBRANE_RAFT_ORGANIZATION	14	7	0.85146	2.34306	0.09942	0.61918	False
GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_REGENERATION	14	7	0.84692	2.33244	0.10010	0.61918	False
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT_VIA_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL	20	12	0.72601	2.06682	0.10026	0.61918	False
GOBP_REGULATION_OF_MEMBRANE_REPOLARIZATION	14	22	-0.67822	0.50752	0.10080	0.61918	False
GOBP_POSITIVE_REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	14	7	0.83956	2.31536	0.10092	0.61918	False
GOBP_REGULATORY_NCRNA_MEDIATED_HETEROCHROMATIN_FORMATION	10	4	1.01906	2.77058	0.10098	0.61918	False
GOBP_SEMINIFEROUS_TUBULE_DEVELOPMENT	10	4	1.02173	2.77800	0.10129	0.61918	False
GOBP_INTESTINAL_ABSORPTION	14	7	0.82748	2.28754	0.10219	0.61918	False
GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE	28	19	0.61139	1.84300	0.10245	0.61918	False
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	10	17	-0.76911	0.46343	0.10322	0.61918	False
GOBP_REGULATION_OF_SYNAPSE_PRUNING	11	5	0.99391	2.70179	0.10710	0.61918	False
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_ENDOCYTOSIS	21	13	0.69328	2.00027	0.10741	0.61918	False
GOBP_ELASTIC_FIBER_ASSEMBLY	11	5	0.98224	2.67042	0.10834	0.61918	False
GOBP_RESPONSE_TO_GROWTH_HORMONE	15	22	-0.71975	0.48687	0.10871	0.61918	False
GOBP_MESENCHYMAL_CELL_PROLIFERATION	24	16	0.69397	2.00164	0.10980	0.61918	False
GOBP_GAMMA_AMINOBUTYRIC_ACID_TRANSPORT	11	5	0.97071	2.63981	0.10990	0.61918	False
GOBP_POSITIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	21	13	0.67655	1.96708	0.11047	0.61918	False
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	21	13	0.67404	1.96215	0.11087	0.61918	False
GOBP_DORSAL_SPINAL_CORD_DEVELOPMENT	11	5	0.96170	2.61614	0.11128	0.61918	False
GOBP_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS	15	8	0.78263	2.18721	0.11169	0.61918	False
GOBP_REGULATION_OF_CARDIAC_CONDUCTION	14	21	-0.70885	0.49221	0.11244	0.61918	False
GOBP_NEGATIVE_REGULATION_OF_ANOIKIS	16	9	0.78949	2.20227	0.11297	0.61918	False
GOBP_GONADOTROPIN_SECRETION	11	5	0.94481	2.57232	0.11323	0.61918	False
GOBP_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION	13	20	-0.71074	0.49128	0.11330	0.61918	False
GOBP_REGULATION_OF_HAIR_CYCLE	11	5	0.94364	2.56931	0.11352	0.61918	False
GOBP_IMMUNE_RESPONSE_INHIBITING_SIGNAL_TRANSDUCTION	11	5	0.94125	2.56317	0.11355	0.61918	False
GOBP_VENTRICULAR_SYSTEM_DEVELOPMENT	14	21	-0.70386	0.49467	0.11378	0.61918	False
GOBP_POSITIVE_REGULATION_OF_RIG_I_SIGNALING_PATHWAY	11	5	0.93809	2.55509	0.11382	0.61918	False
GOBP_METANEPHRIC_EPITHELIUM_DEVELOPMENT	11	5	0.93752	2.55364	0.11435	0.61918	False
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_TRANSPORT	11	5	0.93685	2.55192	0.11449	0.61918	False
GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY	11	5	0.93249	2.54082	0.11455	0.61918	False
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	23	15	0.66813	1.95058	0.11463	0.61918	False
GOBP_CORONARY_VASCULATURE_MORPHOGENESIS	11	5	0.93053	2.53585	0.11526	0.61918	False
