total_genes	mut_genes_combi	mut_genes_ppcg	a	b	c	d	odds_ratio	p_value	q_value	significant	geneset
10	4	4	10	54	7	57	1.50794	0.60356	1.00000	False	KEGG_MEDICUS_REFERENCE_CD80_CD86_CD28_PI3K_SIGNALING_PATHWAY
11	5	4	10	54	7	57	1.50794	0.60356	1.00000	False	KEGG_MEDICUS_REFERENCE_KISS1_KISS1R_PLCB_PKC_SIGNALING_PATHWAY
15	8	7	10	54	7	57	1.50794	0.60356	1.00000	False	KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CAMK_SIGNALING_PATHWAY
19	7	7	10	54	7	57	1.50794	0.60356	1.00000	False	KEGG_MEDICUS_REFERENCE_CA2_CAM_CAMK_SIGNALING_PATHWAY
19	9	5	10	54	7	57	1.50794	0.60356	1.00000	False	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_LGR_RSPO
11	5	4	10	54	7	57	1.50794	0.60356	1.00000	False	KEGG_MEDICUS_VARIANT_BCR_ABL_FUSION_KINASE_TO_PI3K_SIGNALING_PATHWAY
10	5	4	10	54	7	57	1.50794	0.60356	1.00000	False	KEGG_MEDICUS_REFERENCE_TAC3_TACR3_PLC_PKC_SIGNALING_PATHWAY
25	10	9	11	53	8	56	1.45283	0.61999	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP1A1_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY
13	7	4	11	53	8	56	1.45283	0.61999	1.00000	False	KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PI3K_SIGNALING_PATHWAY
25	10	10	11	53	8	56	1.45283	0.61999	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KCNJ5_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY
6	5	4	11	53	8	56	1.45283	0.61999	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ATXN1_TO_RORA_MEDIATED_TRANSCRIPTION
19	8	9	11	53	14	50	0.74124	0.65628	1.00000	False	KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY
27	10	11	11	53	14	50	0.74124	0.65628	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_RETROGRADE_AXONAL_TRANSPORT
30	9	11	14	50	11	53	1.34909	0.65628	1.00000	False	KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE
45	12	14	12	52	15	49	0.75385	0.66534	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_RETROGRADE_AXONAL_TRANSPORT
30	12	13	12	52	15	49	0.75385	0.66534	1.00000	False	KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY
43	12	14	12	52	15	49	0.75385	0.66534	1.00000	False	KEGG_MEDICUS_REFERENCE_RETROGRADE_AXONAL_TRANSPORT
23	9	9	12	52	15	49	0.75385	0.66534	1.00000	False	KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY
31	12	13	13	51	16	48	0.76471	0.67329	1.00000	False	KEGG_MEDICUS_VARIANT_CYP11B1_CYP11B2_FUSION_TO_ACTH_CORTISOL_SIGNALING_PATHWAY
24	9	9	10	54	8	56	1.29630	0.79999	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_CACNA1D_H_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY
32	10	8	10	54	8	56	1.29630	0.79999	1.00000	False	KEGG_MEDICUS_REFERENCE_GPCR_PI3K_SIGNALING_PATHWAY
13	5	5	10	54	8	56	1.29630	0.79999	1.00000	False	KEGG_MEDICUS_REFERENCE_DOUBLE_STRAND_BREAK_SIGNALING
19	9	8	10	54	8	56	1.29630	0.79999	1.00000	False	KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY
29	8	6	11	53	9	55	1.26834	0.80825	1.00000	False	KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY
19	5	7	10	54	12	52	0.80247	0.81526	1.00000	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_TRANSPORT_OF_CALCIUM
18	5	7	10	54	12	52	0.80247	0.81526	1.00000	False	KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_TRANSPORT_OF_CALCIUM
