observed	background	n_replicates	p_value	q_value	significant	geneset
12	13.44000	1000	0.74925	0.89078	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MACHR_CA2_APOPTOTIC_PATHWAY
13	15.18000	1000	0.77922	0.90572	False	KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY
12	13.93700	1000	0.78222	0.90572	False	KEGG_MEDICUS_REFERENCE_SKELETAL_TYPE_VGCC_RYR_SIGNALING
12	13.83300	1000	0.78721	0.90572	False	KEGG_MEDICUS_REFERENCE_MGLUR5_CA2_APOPTOTIC_PATHWAY
10	12.16800	1000	0.81518	0.90595	False	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_CACNA1D_H_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY
12	14.69200	1000	0.82917	0.90595	False	KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY
12	14.33800	1000	0.83217	0.90595	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY
12	14.58500	1000	0.83317	0.90595	False	KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING
10	12.27000	1000	0.83916	0.90595	False	KEGG_MEDICUS_REFERENCE_GHRHR_PKA_GH_SIGNALING_PATHWAY
11	13.39500	1000	0.84216	0.90595	False	KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119
12	14.64700	1000	0.84715	0.90595	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY
10	12.52900	1000	0.85514	0.90595	False	KEGG_MEDICUS_REFERENCE_CRHR_PKA_ACTH_SIGNALING_PATHWAY
10	13.73400	1000	0.93407	0.97985	False	KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY
10	14.45800	1000	0.94705	0.98157	False	KEGG_MEDICUS_REFERENCE_TSH_TG_SIGNALING_PATHWAY
11	15.83900	1000	0.95405	0.98157	False	KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_RAC_SIGNALING_PATHWAY
11	16.62300	1000	0.97802	0.98927	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_RETROGRADE_AXONAL_TRANSPORT
12	18.15000	1000	0.98002	0.98927	False	KEGG_MEDICUS_REFERENCE_RETROGRADE_AXONAL_TRANSPORT
12	19.06500	1000	0.99101	0.99101	False	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_RETROGRADE_AXONAL_TRANSPORT
